R0000100,R0173600,R0214800,H0012400,H0012500,R0214700,R0217900,T4120500
1,5,2,NA,NA,0,30000,NA
2,5,2,0,1,0,20000,34
3,5,2,0,1,0,22390,19
4,5,2,NA,NA,0,22390,NA
5,1,1,NA,NA,0,36000,NA
6,1,1,1,2,0,35000,30
7,1,1,1,3,0,8502,NA
8,6,2,0,2,0,7227,17
9,1,1,0,1,0,17000,27
10,6,2,NA,NA,0,3548,NA
11,1,1,0,1,0,12000,NA
12,5,2,NA,NA,0,25000,NA
13,1,1,0,1,0,20000,NA
14,5,2,0,1,0,NA,-998
15,1,1,0,1,0,22000,33
16,5,2,1,3,0,48000,31
17,1,1,0,2,0,15000,-998
18,1,1,0,3,0,4510,19
19,5,2,1,1,0,9000,NA
20,5,2,1,2,0,50000,30
21,5,2,0,2,0,40000,-998
22,5,2,1,2,0,18000,-998
23,1,1,NA,NA,0,44000,NA
24,1,1,NA,NA,0,44000,NA
25,5,2,0,1,0,NA,30
26,1,1,NA,NA,0,30000,33
27,5,2,0,1,0,20000,27
28,5,2,NA,NA,0,20000,NA
29,5,2,1,2,0,24200,-998
30,5,2,0,1,0,24200,24
31,4,1,0,2,0,5088,25
32,8,2,1,2,0,22500,NA
33,4,1,0,1,0,23500,-998
34,1,1,1,2,0,21000,29
35,5,2,NA,NA,0,18000,NA
36,1,1,0,1,0,21000,-998
37,5,2,1,2,0,37000,31
38,5,2,0,2,0,37000,-998
39,1,1,0,3,0,22000,37
40,2,1,0,1,0,5500,43
41,2,1,0,2,0,5500,38
42,1,1,1,2,0,21000,28
43,6,2,1,4,0,NA,21
44,5,2,1,1,0,30000,20
45,1,1,NA,NA,0,15000,NA
46,5,2,0,1,0,28000,NA
47,1,1,0,1,0,32388,-998
48,2,1,NA,NA,0,9000,NA
49,5,2,1,1,0,23900,24
50,5,2,1,1,0,28000,26
51,1,1,NA,NA,0,28000,NA
52,1,1,NA,NA,0,8000,23
53,4,1,0,3,0,15646,-998
54,1,1,1,3,0,15000,NA
55,1,1,NA,NA,0,12000,NA
56,5,2,NA,NA,0,12000,NA
57,5,2,1,2,0,23289,21
58,5,2,1,1,0,50000,24
59,1,1,0,1,0,50000,-998
60,1,1,NA,NA,0,50000,27
61,5,2,1,1,0,32000,30
62,5,2,1,3,0,32000,32
63,1,1,1,2,0,37000,32
64,1,1,NA,NA,0,37000,NA
65,5,2,NA,NA,0,37000,NA
66,1,1,1,4,0,NA,28
67,1,1,0,1,0,35000,36
68,5,2,0,1,0,40000,31
69,1,1,1,1,0,40000,27
70,1,1,1,1,0,NA,40
71,1,1,NA,NA,0,NA,NA
72,5,2,0,3,0,NA,-998
73,1,1,0,1,0,25000,NA
74,5,2,NA,NA,0,NA,NA
75,5,2,1,1,0,NA,31
76,1,1,0,1,0,NA,32
77,5,2,0,2,0,NA,-998
78,5,2,1,3,0,32000,NA
79,1,1,0,1,0,35000,NA
80,1,1,0,2,0,NA,-998
81,1,1,0,1,0,NA,NA
82,3,1,0,3,1,NA,NA
83,3,1,0,2,1,22426,-998
84,3,1,0,3,1,22426,19
85,3,1,0,3,1,12475,19
86,7,2,0,3,1,1688,17
87,3,1,1,2,1,12475,20
88,3,1,1,2,1,NA,25
89,7,2,1,1,1,29000,NA
90,1,1,1,2,0,NA,34
91,5,2,1,2,0,NA,30
92,5,2,1,2,0,NA,20
93,1,1,0,1,0,8000,26
94,1,1,1,1,0,24000,-998
95,5,2,1,1,0,24000,25
96,6,2,1,5,0,3000,19
97,5,2,1,1,0,8000,29
98,6,2,0,1,0,6618,30
99,5,2,1,1,0,22500,29
100,5,2,1,4,0,5904,21
101,1,1,1,3,0,15000,NA
102,5,2,1,1,0,15000,27
103,1,1,0,3,0,16400,33
104,5,2,1,3,0,NA,NA
105,6,2,1,1,0,28000,-998
106,1,1,0,1,0,11000,-998
107,1,1,0,3,0,25000,-998
108,1,1,0,4,0,25000,36
109,5,2,NA,NA,0,18000,NA
110,1,1,0,1,0,NA,27
111,5,2,1,1,0,NA,22
112,5,2,0,1,0,NA,18
113,1,1,NA,NA,0,NA,NA
114,1,1,NA,NA,0,NA,NA
115,5,2,NA,NA,0,52300,NA
116,5,2,NA,NA,0,52300,NA
117,1,1,0,1,0,52300,26
118,5,2,NA,NA,0,14000,NA
119,1,1,0,3,0,7400,-998
120,1,1,1,2,0,60000,-998
121,5,2,1,2,0,60000,28
122,1,1,1,1,0,12000,31
123,1,1,NA,NA,0,NA,NA
124,5,2,1,4,0,NA,27
125,1,1,1,2,0,30000,NA
126,1,1,1,1,0,30000,26
127,1,1,NA,NA,0,15000,NA
128,5,2,1,2,0,NA,24
129,1,1,1,1,0,45000,-998
130,6,2,NA,NA,0,0,NA
131,6,2,NA,NA,0,0,NA
132,6,2,NA,NA,0,NA,NA
133,5,2,0,1,0,25000,29
134,1,1,NA,NA,0,NA,NA
135,1,1,1,2,0,NA,31
136,5,2,0,1,0,NA,-998
137,5,2,0,1,0,40000,26
138,5,2,0,2,0,40000,26
139,1,1,0,1,0,40000,28
140,5,2,1,1,0,36000,34
141,5,2,0,2,0,29000,-998
142,1,1,1,2,0,17000,-998
143,5,2,1,2,0,17000,NA
144,5,2,0,2,0,17000,28
145,1,1,0,3,0,12000,-998
146,1,1,1,2,0,12000,22
147,5,2,1,2,0,22000,26
148,1,1,1,2,0,22000,-998
149,5,2,1,3,0,22000,27
150,1,1,1,2,0,35000,-998
151,5,2,NA,NA,0,35000,NA
152,5,2,1,2,0,35000,-998
153,5,2,0,3,0,25000,22
154,5,2,NA,NA,0,25000,NA
155,1,1,1,2,0,18000,24
156,1,1,0,2,0,0,21
157,5,2,1,1,0,35000,22
158,5,2,1,2,0,35000,26
159,5,2,1,1,0,35000,NA
160,5,2,1,1,0,17000,30
161,5,2,1,3,0,17000,33
162,1,1,1,1,0,24000,NA
163,1,1,NA,NA,0,24000,NA
164,5,2,1,1,0,NA,-998
165,5,2,0,1,0,20000,27
166,1,1,0,2,0,20000,28
167,5,2,0,1,0,NA,NA
168,3,1,NA,NA,1,3874,27
169,7,2,NA,NA,1,3874,-998
170,5,2,0,3,0,NA,NA
171,1,1,1,1,0,NA,28
172,6,2,0,3,0,3162,35
173,1,1,NA,NA,0,5000,NA
174,8,2,1,3,0,30000,25
175,5,2,NA,NA,0,6600,24
176,5,2,NA,NA,0,NA,NA
177,1,1,NA,NA,0,8813,NA
178,1,1,1,1,0,NA,-998
179,5,2,1,2,0,10000,22
180,5,2,1,1,0,18698,NA
181,1,1,0,2,0,12000,34
182,1,1,NA,NA,0,12000,-998
183,5,2,0,4,0,23000,NA
184,5,2,0,1,0,23000,38
185,1,1,1,1,0,23000,32
186,5,2,1,3,0,30000,31
187,1,1,NA,NA,0,30000,NA
188,5,2,0,3,0,22000,26
189,1,1,0,1,0,NA,-998
190,5,2,1,3,0,26000,33
191,1,1,1,2,0,26000,30
192,5,2,1,1,0,20000,27
193,1,1,1,2,0,28000,30
194,1,1,0,1,0,28000,NA
195,1,1,1,1,0,31000,35
196,1,1,0,3,0,70000,NA
197,5,2,0,3,0,25000,27
198,1,1,0,1,0,30000,38
199,1,1,1,5,0,65000,-998
200,5,2,1,3,0,25200,24
201,1,1,0,2,0,49000,31
202,1,1,1,1,0,4300,-998
203,8,2,NA,NA,0,6159,NA
204,8,2,1,2,0,NA,18
205,8,2,0,4,0,11960,21
206,1,1,NA,NA,0,13000,NA
207,1,1,0,4,0,13000,NA
208,6,2,0,3,0,7800,NA
209,1,1,1,5,0,48000,NA
210,1,1,0,1,0,20000,36
211,5,2,1,1,0,20000,32
212,1,1,1,4,0,NA,30
213,1,1,1,3,0,NA,NA
214,1,1,0,1,0,NA,-998
215,1,1,NA,NA,0,30000,NA
216,5,2,NA,NA,0,21100,NA
217,1,1,NA,NA,0,NA,NA
218,1,1,1,2,0,15000,31
219,5,2,1,2,0,55000,-998
220,5,2,1,2,0,55000,-998
221,7,2,0,5,1,8400,21
222,3,1,0,2,1,8600,24
223,3,1,1,2,1,8900,18
224,7,2,0,3,1,8400,14
225,4,1,NA,NA,0,9156,NA
226,4,1,NA,NA,0,9156,NA
227,7,2,0,2,1,5184,17
228,8,2,0,2,0,8450,22
229,5,2,0,1,0,NA,29
230,1,1,1,2,0,19000,-998
231,5,2,0,2,0,29000,32
232,1,1,1,2,0,29000,24
233,1,1,1,2,0,29000,21
234,2,1,1,1,0,5000,19
235,1,1,0,1,0,16000,28
236,5,2,1,1,0,30000,26
237,5,2,0,5,0,5710,23
238,6,2,NA,NA,0,12000,NA
239,6,2,0,3,0,75,19
240,6,2,0,3,0,10000,22
241,2,1,NA,NA,0,10000,NA
242,5,2,0,1,0,7236,27
243,1,1,0,1,0,12600,26
244,5,2,1,2,0,7910,18
245,5,2,1,1,0,15000,29
246,1,1,NA,NA,0,15000,NA
247,2,1,0,4,0,6000,27
248,2,1,0,2,0,7000,22
249,6,2,1,1,0,7000,18
250,5,2,0,1,0,10600,24
251,2,1,0,2,0,6000,-998
252,6,2,1,2,0,6000,19
253,1,1,0,3,0,14000,-998
254,5,2,1,1,0,NA,20
255,5,2,0,2,0,22000,21
256,5,2,1,2,0,18000,18
257,1,1,0,4,0,18000,34
258,5,2,1,2,0,19450,22
259,1,1,0,2,0,19700,21
260,1,1,1,1,0,27000,24
261,1,1,1,2,0,27000,37
262,5,2,NA,NA,0,21000,NA
263,1,1,NA,NA,0,21000,NA
264,5,2,NA,NA,0,8000,NA
265,5,2,0,1,0,38000,28
266,2,1,NA,NA,0,9200,NA
267,1,1,NA,NA,0,18000,-998
268,1,1,1,3,0,11500,33
269,2,1,0,1,0,8000,31
270,1,1,NA,NA,0,NA,NA
271,5,2,NA,NA,0,NA,NA
272,5,2,0,2,0,13870,27
273,1,1,0,1,0,13870,32
274,2,1,1,3,0,5800,19
275,6,2,1,2,0,5800,28
276,5,2,0,2,0,18000,NA
277,1,1,1,1,0,NA,-998
278,5,2,1,2,0,9000,NA
279,1,1,1,1,0,25000,NA
280,5,2,NA,NA,0,NA,NA
281,1,1,1,2,0,25000,34
282,5,2,1,2,0,25000,28
283,4,1,1,2,0,29000,25
284,4,1,0,1,0,27000,-998
285,8,2,1,2,0,29000,16
286,8,2,1,2,0,13000,-998
287,5,2,1,3,0,NA,NA
288,5,2,0,3,0,NA,18
289,5,2,1,3,0,NA,19
290,8,2,0,2,0,17900,19
291,3,1,0,1,1,3000,-998
292,5,2,0,1,0,NA,32
293,5,2,1,1,0,NA,26
294,5,2,1,2,0,20000,22
295,1,1,NA,NA,0,14000,NA
296,1,1,0,2,0,19000,NA
297,5,2,1,3,0,16705,21
298,8,2,NA,NA,0,4872,NA
299,4,1,0,3,0,4872,-998
300,4,1,1,1,0,4000,NA
301,4,1,0,2,0,6800,27
302,4,1,1,1,0,6300,27
303,4,1,0,1,0,6800,28
304,4,1,0,1,0,6300,-998
305,8,2,0,2,0,2956,17
306,3,1,0,2,1,7226,-998
307,5,2,0,2,0,NA,-998
308,1,1,0,3,0,NA,-998
309,1,1,0,3,0,38000,NA
310,1,1,0,1,0,30000,29
311,1,1,1,2,0,30000,-998
312,5,2,1,1,0,17000,20
313,1,1,0,2,0,17000,21
314,5,2,1,2,0,NA,22
315,1,1,0,2,0,NA,NA
316,1,1,1,3,0,NA,26
317,1,1,1,2,0,29000,33
318,1,1,NA,NA,0,45000,NA
319,5,2,0,2,0,31010,-998
320,1,1,0,1,0,NA,30
321,5,2,0,3,0,50000,NA
322,5,2,1,1,0,45000,30
323,1,1,0,2,0,30000,22
324,1,1,0,1,0,30000,22
325,1,1,NA,NA,0,30000,NA
326,5,2,NA,NA,0,28000,NA
327,5,2,1,1,0,75000,NA
328,4,1,NA,NA,0,2000,NA
329,4,1,NA,NA,0,2000,NA
330,4,1,NA,NA,0,5780,NA
331,4,1,0,1,0,4932,-998
332,4,1,0,1,0,5780,21
333,7,2,0,2,1,10600,23
334,3,1,NA,NA,1,NA,NA
335,7,2,0,4,1,800,32
336,3,1,NA,NA,1,6000,19
337,3,1,0,3,1,5000,20
338,7,2,0,2,1,6000,NA
339,7,2,1,3,1,6000,20
340,7,2,0,1,1,6000,19
341,5,2,0,4,0,17000,NA
342,1,1,1,1,0,17000,33
343,7,2,0,3,1,11400,19
344,5,2,1,2,0,NA,30
345,7,2,NA,NA,1,20000,NA
346,1,1,1,1,0,15300,32
347,5,2,1,1,0,23000,NA
348,1,1,0,2,0,49000,NA
349,1,1,0,1,0,49000,NA
350,1,1,0,2,0,49000,35
351,1,1,0,1,0,35000,25
352,5,2,1,2,0,35000,-998
353,1,1,0,1,0,21975,NA
354,5,2,1,2,0,21975,32
355,1,1,0,2,0,21975,27
356,1,1,0,2,0,25000,-998
357,1,1,0,1,0,25000,35
358,1,1,1,1,0,40000,32
359,5,2,0,2,0,30000,NA
360,5,2,1,5,0,45000,-998
361,1,1,0,3,0,15000,NA
362,1,1,0,4,0,12000,-998
363,5,2,0,5,0,12000,-998
364,1,1,0,3,0,NA,28
365,5,2,0,2,0,NA,25
366,1,1,NA,NA,0,NA,NA
367,5,2,0,1,0,30000,-998
368,7,2,1,4,1,40000,-998
369,5,2,1,1,0,46000,32
370,5,2,1,2,0,46000,-998
371,5,2,NA,NA,0,33000,NA
372,1,1,1,3,0,33000,31
373,5,2,1,2,0,30270,22
374,5,2,0,1,0,30270,NA
375,1,1,0,2,0,30270,NA
376,2,1,0,2,0,8500,29
377,3,1,0,1,1,5400,23
378,3,1,0,2,1,5400,34
379,7,2,1,1,1,4900,19
380,3,1,0,1,1,NA,18
381,3,1,0,2,1,12320,20
382,7,2,1,4,1,7065,16
383,3,1,NA,NA,1,7065,NA
384,3,1,NA,NA,1,7065,NA
385,7,2,1,1,1,21500,24
386,7,2,1,2,1,21500,-998
387,3,1,1,1,1,21500,-998
388,7,2,1,3,1,11148,24
389,5,2,1,1,0,39000,NA
390,7,2,1,2,1,14000,NA
391,7,2,0,3,1,14000,18
392,1,1,0,1,0,29000,27
393,1,1,0,2,0,29000,37
394,3,1,1,4,1,10000,18
395,7,2,1,4,1,NA,21
396,3,1,0,3,1,4200,24
397,7,2,0,3,1,3900,NA
398,3,1,0,1,1,5300,21
399,5,2,1,1,0,25500,27
400,5,2,1,1,0,25500,28
401,5,2,0,2,0,20000,20
402,5,2,0,3,0,NA,23
403,1,1,1,1,0,3000,-998
404,1,1,NA,NA,0,22000,NA
405,5,2,1,3,0,20000,32
406,1,1,1,2,0,22000,-998
407,5,2,0,2,0,15000,31
408,1,1,0,2,0,35000,19
409,2,1,1,3,0,3617,25
410,1,1,0,1,0,16000,23
411,1,1,1,3,0,20000,18
412,1,1,1,1,0,20000,24
413,1,1,NA,NA,0,29000,NA
414,5,2,0,1,0,9500,22
415,1,1,0,1,0,NA,26
416,5,2,0,1,0,NA,26
417,1,1,1,2,0,NA,25
418,5,2,0,2,0,6000,24
419,1,1,0,1,0,18000,36
420,1,1,0,1,0,18000,25
421,1,1,1,2,0,63000,NA
422,1,1,1,2,0,63000,28
423,5,2,1,1,0,70000,34
424,1,1,0,3,0,14000,NA
425,5,2,1,3,0,NA,18
426,4,1,0,1,0,23400,22
427,5,2,NA,NA,0,NA,NA
428,5,2,0,1,0,NA,NA
429,1,1,NA,NA,0,40000,NA
430,1,1,NA,NA,0,40000,NA
431,5,2,0,2,0,NA,27
432,1,1,0,4,0,19000,NA
433,1,1,1,2,0,19000,NA
434,1,1,0,2,0,15000,25
435,1,1,1,1,0,5000,NA
436,5,2,1,1,0,17000,-998
437,5,2,0,1,0,19260,23
438,6,2,1,1,0,12000,24
439,5,2,1,1,0,18000,33
440,1,1,NA,NA,0,30000,NA
441,1,1,1,4,0,18000,NA
442,5,2,0,3,0,14750,18
443,1,1,0,2,0,10000,25
444,5,2,1,1,0,40000,28
445,1,1,0,1,0,40000,43
446,6,2,1,1,0,7000,NA
447,1,1,1,3,0,10000,NA
448,1,1,NA,NA,0,10000,NA
449,5,2,1,1,0,30000,36
450,1,1,1,2,0,30000,NA
